Name,Description,Group,DataSource,DataSource2,DataType,Address,Address2,Address3,InitialValue,Boolean_Invert,Integer_WordsCount,Analog_minRaw,Analog_maxRaw,Analog_minEng,Analog_maxEng,Analog_Engunit,Alm_Enable,Alm_Comment,Alm_Enable_LL,Alm_Enable_Lo,Alm_Enable_Hi,Alm_Enable_HH,Alm_Enable_OverRange,Alm_Enable_UnderRange,Alm_LL_lim,Alm_Lo_lim,Alm_Hi_lim,Alm_HH_lim,Alm_LL_Pri,Alm_Lo_Pri,Alm_Hi_Pri,Alm_HiHi_Pri,Alm_OverRange_Pri,Alm_UnderRange_Pri,Alm_LL_Delay,Alm_Lo_Delay,Alm_Hi_Delay,Alm_HH_Delay,Alm_OverRange_Delay,Alm_UnderRange_Delay,Alm_LL_DeaBand,Alm_Lo_DeaBand,Alm_Hi_DeaBand,Alm_HiHi_DeaBand,Alm_OverRange_DeaBand,Alm_UnderRange_DeaBand,Alm_AlarmOrEvent,Alm_Bool_WhileTrue,Alm_Bool_Delay,Alm_Bool_Count,Alm_Bool_Pri,Alm_Page,Alm_LL_Desc,Alm_Lo_Desc,Alm_Hi_Desc,Alm_HH_Desc,Alm_Bool_Desc,Alm_Collections,Log_Enable,Log_Model,Log_Model2,Integration_Enable,Integration_Model,Integration_Model2,AccessLevel,Class_Name,Object_Name,User_Def_1,User_Def_2,User_Def_3,User_Def_4,User_Def_5,User_Def_6,User_Def_7,User_Def_8,User_Def_9,User_Def_10,User_Def_11,User_Def_12,CopyTo
ACC1.ReportControllerGlobals_DD_Status,,ACC1,ACC1,,Integer,C_02_DD_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_YYYY_Status,,ACC1,ACC1,,Integer,C_02_YYYY_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_SysDcHour_Status,,ACC1,ACC1,,Integer,C_02_SysDcHour_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_FcpDcHour_Status,,ACC1,ACC1,,Integer,C_02_FcpDcHour_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_Options_Status,,ACC1,ACC1,,Integer,C_02_Options_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_CurEtap_Status,,ACC1,ACC1,,Integer,C_02_CurEtap_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_MaxEtap_Status,,ACC1,ACC1,,Integer,C_02_MaxEtap_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_Response_Status,,ACC1,ACC1,,Integer,C_02_Response_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_ReportInterval_Status,,ACC1,ACC1,,Integer,C_02_ReportInterval_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_OptStatus_Status,,ACC1,ACC1,,Integer,C_02_OptStatus_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_OffStatus_Status,,ACC1,ACC1,,Integer,C_02_OffStatus_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_GblSeasAdj_Status,,ACC1,ACC1,,Integer,C_02_GblSeasAdj_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,System DashBoard.edd,,,,,,,True,SEASONAL,LONG_TERM,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_StackMode_Status,,ACC1,ACC1,,Integer,C_02_StackMode_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_SsPrgThold_Status,,ACC1,ACC1,,Integer,C_02_SsPrgThold_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_SsgSsPrgThold_Status,,ACC1,ACC1,,Integer,C_02_SsgSsPrgThold_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerGlobals_RotaryKnob_Status,,ACC1,ACC1,,Integer,C_02_RotaryKnob_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_Hours_Command,,ACC1,ACC1,,Integer,C_01_Hours_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_Minutes_Command,,ACC1,ACC1,,Integer,C_01_Minutes_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_Seconds_Command,,ACC1,ACC1,,Integer,C_01_Seconds_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_MM_Command,,ACC1,ACC1,,Integer,C_01_MM_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_DD_Command,,ACC1,ACC1,,Integer,C_01_DD_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
