Name,Description,Group,DataSource,DataSource2,DataType,Address,Address2,Address3,InitialValue,Boolean_Invert,Integer_WordsCount,Analog_minRaw,Analog_maxRaw,Analog_minEng,Analog_maxEng,Analog_Engunit,Alm_Enable,Alm_Comment,Alm_Enable_LL,Alm_Enable_Lo,Alm_Enable_Hi,Alm_Enable_HH,Alm_Enable_OverRange,Alm_Enable_UnderRange,Alm_LL_lim,Alm_Lo_lim,Alm_Hi_lim,Alm_HH_lim,Alm_LL_Pri,Alm_Lo_Pri,Alm_Hi_Pri,Alm_HiHi_Pri,Alm_OverRange_Pri,Alm_UnderRange_Pri,Alm_LL_Delay,Alm_Lo_Delay,Alm_Hi_Delay,Alm_HH_Delay,Alm_OverRange_Delay,Alm_UnderRange_Delay,Alm_LL_DeaBand,Alm_Lo_DeaBand,Alm_Hi_DeaBand,Alm_HiHi_DeaBand,Alm_OverRange_DeaBand,Alm_UnderRange_DeaBand,Alm_AlarmOrEvent,Alm_Bool_WhileTrue,Alm_Bool_Delay,Alm_Bool_Count,Alm_Bool_Pri,Alm_Page,Alm_LL_Desc,Alm_Lo_Desc,Alm_Hi_Desc,Alm_HH_Desc,Alm_Bool_Desc,Alm_Collections,Log_Enable,Log_Model,Log_Model2,Integration_Enable,Integration_Model,Integration_Model2,AccessLevel,Class_Name,Object_Name,User_Def_1,User_Def_2,User_Def_3,User_Def_4,User_Def_5,User_Def_6,User_Def_7,User_Def_8,User_Def_9,User_Def_10,User_Def_11,User_Def_12,CopyTo
ACC1.SetControllerGlobals_YYYY_Command,,ACC1,ACC1,,Integer,C_01_YYYY_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_SysDcHour_Command,,ACC1,ACC1,,Integer,C_01_SysDcHour_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_FcpDcHour_Command,,ACC1,ACC1,,Integer,C_01_FcpDcHour_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_Options_Command,,ACC1,ACC1,,Integer,C_01_Options_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_CurEtap_Command,,ACC1,ACC1,,Integer,C_01_CurEtap_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_MaxEtap_Command,,ACC1,ACC1,,Integer,C_01_MaxEtap_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_Response_Command,,ACC1,ACC1,,Integer,C_01_Response_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_ReportInterval_Command,,ACC1,ACC1,,Integer,C_01_ReportInterval_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_GblSeasAdj_Command,,ACC1,ACC1,,Integer,C_01_GblSeasAdj_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_StackMode_Command,,ACC1,ACC1,,Integer,C_01_StackMode_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_SsPrgThold_Command,,ACC1,ACC1,,Integer,C_01_SsPrgThold_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_SsgSsPrgThold_Command,,ACC1,ACC1,,Integer,C_01_SsgSsPrgThold_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerGlobals_Trigger,,ACC1,ACC1,,Boolean,C_01_Trigger,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_ProgramNumber_Status,,ACC1,ACC1,,Integer,C_3E_ProgramNumber_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_ProgramNumber_Command,,ACC1,ACC1,,Integer,C_3E_ProgramNumber_Command,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_Mode_Status,,ACC1,ACC1,,Integer,C_3E_Mode_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_SchedType_Status,,ACC1,ACC1,,Integer,C_3E_SchedType_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_DOWDays_Status,,ACC1,ACC1,,Integer,C_3E_DOWDays_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_OddEvenDays_Status,,ACC1,ACC1,,Integer,C_3E_OddEvenDays_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_IntervalDays_Status,,ACC1,ACC1,,Integer,C_3E_IntervalDays_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_IntLength_Status,,ACC1,ACC1,,Integer,C_3E_IntLength_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_IntNextWater_Status,,ACC1,ACC1,,Integer,C_3E_IntNextWater_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_StartTime1_Status,,ACC1,ACC1,,Integer,C_3E_StartTime1_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_StartTime2_Status,,ACC1,ACC1,,Integer,C_3E_StartTime2_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_StartTime3_Status,,ACC1,ACC1,,Integer,C_3E_StartTime3_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_StartTime4_Status,,ACC1,ACC1,,Integer,C_3E_StartTime4_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_StartTime5_Status,,ACC1,ACC1,,Integer,C_3E_StartTime5_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_StartTime6_Status,,ACC1,ACC1,,Integer,C_3E_StartTime6_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_StartTime7_Status,,ACC1,ACC1,,Integer,C_3E_StartTime7_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerProgramHeaderData_StartTime8_Status,,ACC1,ACC1,,Integer,C_3E_StartTime8_Status,,,,False,1,0,100,0,100,,False,,False,False,False,False,False,False,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,True,0,1,1,Home.edd,,,,,,,False,,,False,,,0,,,,,,,,,,,,,,,
